date,country,region,accomodation type,price,currency,memo
2022/5/16,Japan,Sanda,parents' home,0,JPY,-
2022/5/17,-,-,airplane,-,-,-
2022/5/18,Australia,Sydney,dormitory,3165,JPY,-
2022/5/19,Australia,katoomba,dormitory,26.5,AUD,-
2022/5/20,Australia,katoomba,dormitory,26.5,AUD,-
2022/5/21,Australia,-,bus,-,-,-
2022/5/22,Australia,Melbourne,single room,50,AUD,-
2022/5/23,Australia,Melbourne,dormitory,30,AUD,-
2022/5/24,Australia,philip island,dormitory,33.75,AUD,-
2022/5/25,Australia,philip island,dormitory,33.75,AUD,-
2022/5/26,Australia,Melbourne,dormitory,25.11,AUD,-
2022/5/27,Australia,Adelaide,dormitory,28.24,AUD,-
2022/5/28,Australia,Adelaide,single room,89,AUD,-
2022/5/29,Australia,Adelaide,dormitory,26.99,AUD,-
2022/5/30,Australia,-,bus,-,-,-
2022/5/31,Australia,Alice springs,dormitory,31,AUD,-
2022/6/1,Australia,Alice springs,dormitory,31,AUD,-
2022/6/2,Australia,Alice springs,dormitory,31,AUD,-
2022/6/3,Australia,-,bus,-,-,-
2022/6/4,Australia,darwin,dormitory,32.4,AUD,-
2022/6/5,Australia,darwin,dormitory,32.4,AUD,-
2022/6/6,Australia,darwin,dormitory,32.4,AUD,-
2022/6/7,Australia,cairns,dormitory,20.16,AUD,-
2022/6/8,Australia,cairns,dormitory,22,AUD,-
2022/6/9,Australia,palm cove beach,dormitory,43,AUD,-
2022/6/10,Australia,cairns,dormitory,22,AUD,-
2022/6/11,Australia,cairns,dormitory,22,AUD,-
2022/6/12,Australia,townsville,dormitory,27,AUD,-
2022/6/13,Australia,Airlie Beach,dormitory,27,AUD,-
2022/6/14,Australia,Airlie Beach,dormitory,27,AUD,-
2022/6/15,Australia,Airlie Beach,dormitory,27,AUD,-
2022/6/16,Australia,-,bus,-,-,-
2022/6/17,Australia,Brisbane,dormitory,41.16,AUD,-
2022/6/18,Australia,Gold coast,dormitory,19.44,AUD,-
2022/6/19,Australia,Gold coast,dormitory,19.44,AUD,-
2022/6/20,Australia,Brisbane,dormitory,27.72,AUD,-
2022/6/21,Australia,Coffs Harbour,dormitory,27,AUD,-
2022/6/22,Australia,Newcastle,dormitory,28.5,AUD,-
2022/6/23,Australia,Newcastle,dormitory,28.5,AUD,-
2022/6/24,Australia,Sydney,dormitory,23.49,AUD,-
2022/6/25,Australia,Sydney,dormitory,23.49,AUD,-
2022/6/26,Australia,Sydney,dormitory,32.76,AUD,-
2022/6/27,Japan,Sanda,parents' home,0,JPY,-
2022/6/28,Japan,Sanda,parents' home,0,JPY,-
2022/6/29,Japan,Sanda,parents' home,0,JPY,-
2022/6/30,Japan,Sanda,parents' home,0,JPY,-
2022/7/1,Japan,-,ferry,-,-,-
2022/7/2,Japan,Hakata,dormitory,2640,JPY,-
2022/7/3,Japan,-,ferry,-,-,-
2022/7/4,Japan,Sanda,parents' home,0,JPY,-
2022/7/5,Japan,Sanda,parents' home,0,JPY,-
2022/7/6,Japan,Sanda,parents' home,0,JPY,-
2022/7/7,Japan,Sanda,parents' home,0,JPY,-
2022/7/8,Japan,Toyooka,dormitory,2673,JPY,-
2022/7/9,Japan,Toyooka,dormitory,4200,JPY,-
2022/7/10,Japan,Sanda,parents' home,0,JPY,-
2022/7/11,Japan,Sanda,parents' home,0,JPY,-
2022/7/12,Japan,Sanda,parents' home,0,JPY,-
2022/7/13,USA,Anchorage,dormitory,59.83,USD,airplane night
2022/7/14,USA,Anchorage,single room,150,USD,-
2022/7/15,USA,Anchorage,single room,150,USD,-
2022/7/16,USA,Anchorage,single room,150,USD,-
2022/7/17,Canada,Vancouver,dormitory,54.27,CAD,-
2022/7/18,Canada,Vancouver,dormitory,5532,円,-
2022/7/19,Canada,Vancouver,dormitory,5532,円,-
2022/7/20,Canada,Nanaimo,dormitory,55.68,CAD,-
2022/7/21,Canada,Vancouver,dormitory,46.99,CAD,-
2022/7/22,Canada,-,train,-,-,-
2022/7/23,Canada,Edomonton,dormitory,39.81,CAD,-
2022/7/24,Canada,Edomonton,dormitory,39.81,CAD,-
2022/7/25,Canada,Saskatoon,single room,66.6,CAD,-
2022/7/26,Canada,Saskatoon,single room,66.6,CAD,-
2022/7/27,Canada,Regina,single room,66.6,CAD,-
2022/7/28,Canada,Regina,single room,66.6,CAD,-
2022/7/29,Canada,-,bus,-,-,-
2022/7/30,Canada,Winnipeg,single room,46.79,CAD,-
2022/7/31,Canada,-,train,-,-,-
2022/8/1,Canada,-,train,-,-,-
2022/8/2,Canada,Toronto,dormitory,46,CAD,-
2022/8/3,Canada,Toronto,dormitory,46.68,CAD,-
2022/8/4,Canada,Toronto,dormitory,46.68,CAD,-
2022/8/5,Canada,Montréal,dormitory,56.93,CAD,-
2022/8/6,Canada,Québec,dormitory,36,CAD,-
2022/8/7,Canada,Montréal,dormitory,56.93,CAD,-
2022/8/8,Mexico,Mexico City,single room,300,MXP,-
2022/8/9,Mexico,Mexico City,dormitory,178.5,MXP,-
2022/8/10,Mexico,Mexico City,dormitory,178.5,MXP,-
2022/8/11,Mexico,Mexico City,dormitory,178.5,MXP,-
2022/8/12,Mexico,Querétaro,dormitory,173.2,MXP,-
2022/8/13,Mexico,Guanajuato,dormitory,280.5,MXP,-
2022/8/14,Mexico,Guanajuato,dormitory,280.5,MXP,-
2022/8/15,Mexico,Morelia,dormitory,200,MXP,-
2022/8/16,Mexico,Puebla,dormitory,114.7,MXP,-
2022/8/17,Mexico,Puebla,dormitory,114.7,MXP,-
2022/8/18,Mexico,Veracruz,dormitory,143.67,MXP,-
2022/8/19,Mexico,Veracruz,dormitory,143.67,MXP,-
2022/8/20,Mexico,Coatzacoalcos,single room,400,MXP,-
2022/8/21,Mexico,Palenque,dormitory,236,MXP,-
2022/8/22,Mexico,Palenque,dormitory,236,MXP,-
2022/8/23,Mexico,Campeche,dormitory,152.16,MXP,-
2022/8/24,Mexico,Merida,dormitory,140.5,MXP,-
2022/8/25,Mexico,Merida,dormitory,140.5,MXP,-
2022/8/26,Mexico,Cancun,dormitory,180.635,MXP,-
2022/8/27,Mexico,Playa del Carmen,dormitory,227.7,MXP,-
2022/8/28,Mexico,Cancun,dormitory,274.59,MXP,-
2022/8/29,Cuba,habana,single room,1572,JPY,-
2022/8/30,Cuba,habana,single room,25,USD,-
2022/8/31,Cuba,habana,single room,25,USD,-
2022/9/1,Cuba,habana,single room,8278,JPY,-
2022/9/2,Cuba,habana,single room,8278,JPY,-
2022/9/3,Mexico,Cancun,dormitory,283.5,MXP,-
